Task#,Page,Action,Expected Result,Status,Issue Found,Fix Applied
74,Statistics,Verify treatment choice chart,Horizontal bar chart with treatment percentages,PASS,Shows 60% Transplant / 33% HD / 7% PD,
75,Statistics,Verify personalized context,Shows personalization basis (age/ethnicity/disease),PASS,Shows based on all UK patients,
76,Statistics,Verify quality of life section,QoL comparison with metric toggle visible,PASS,,
77,Statistics,Toggle QoL metric,Chart updates to show different metric,PASS,3 toggles: Overall / Independence / Burden,
78,Statistics,Verify waiting list section,Waiting list statistics displayed,PASS,~6500 patients / ~3500 transplants / 2-3 years / ~1000 living,
79,Statistics,Verify survival data section,Expandable survival section with warning,PASS,,
80,Statistics,Expand survival data,Survival statistics revealed after acknowledgment,PASS,peritoneal-dialysis showed as raw key,Fixed modality name mapping in StatisticsPage
81,Statistics,Verify source citations,UKRR / NHSBT / NICE sources listed,PASS,,
82,Statistics,Navigate back to hub,Returns to /hub page,PASS,,
83,Hub,Click 3D Model card,Navigates to /model page,SKIP,Not tested in this session,
84,Model,Verify model page loads,3D viewer or placeholder visible,SKIP,Not tested in this session,
85,Model,Navigate back to hub,Returns to /hub page,SKIP,Not tested in this session,
86,Hub,Click Chat card,Navigates to /chat page,SKIP,Not tested in this session,
87,Chat,Verify chat page loads,Chat interface visible,SKIP,Not tested in this session,
88,Chat,Navigate back to hub,Returns to /hub page,SKIP,Not tested in this session,
89,Hub,Click Glossary quick action,Navigates to /glossary page,PASS,,
90,Glossary,Verify glossary page loads,Terms listed alphabetically or by category,PASS,35 terms found with categories,
91,Glossary,Search or browse a term,Term definition visible,PASS,Expandable terms with categories,
92,Glossary,Navigate back to hub,Returns to /hub page,PASS,,
93,Hub,Click Summary card or nav,Navigates to /summary page,PASS,,
94,Summary,Verify summary page loads,Journey summary content visible,PASS,,
95,Summary,Verify questions section,Questions for kidney team shown,PASS,gen-1/gen-2/gen-3 showed as raw IDs,Added decision.questions translation keys
96,Summary,Verify statistics section shown,Statistics summary section visible,PASS,decision.stats.reasons showed as raw keys,Added decision.stats.reasons translation keys
97,Summary,Verify treatment preferences shown,Any treatment preferences from exercises shown,PASS,What Others Chose section with reasons,
98,Summary,Verify print/export option,Print or download button available,PASS,Print Summary and Share buttons visible,
99,Summary,Navigate back to hub,Returns to /hub page,PASS,,
100,Hub,Verify all cards show completed status,Progress indicators reflect visited pages,PASS,Decision readiness tracks progress,
